,name,text,url,follower_num
907,CaraotaDigital,#Video Disney construyó un robot parlante de Donald Trump y las redes estallaron en burlas https://t.co/fP3b9FGKHl  https://t.co/aDpi6dDErJ,https://pbs.twimg.com/profile_images/936406168355966976/mxrA_oxs_normal.jpg,996679
964,Judicial Watch 🔎,RT @JudicialWatch: Judicial Watch filed a FOIA lawsuit w/ DOJ about whether the FBI made any payments to the #ChristopherSteele - the autho…,https://pbs.twimg.com/profile_images/794591644007993344/pvlIf0w6_normal.jpg,597190
1057,Judicial Watch 🔎,RT @JudicialWatch: Judicial Watch filed a FOIA lawsuit w/ DOJ &amp; NSA for info on the Obama White House's role in the unprecedented targeting…,https://pbs.twimg.com/profile_images/794591644007993344/pvlIf0w6_normal.jpg,597190
783,anxiety,"RT @ananavarro: Matt Lauer lost his job.
Charlie Rose lost his job.
Mark Halperin lost his job.
Glenn Thrush lost his job.
Billy Bush lost…",https://pbs.twimg.com/profile_images/875378840255725570/v_HRSv8t_normal.jpg,337953
102,Washington Examiner,Trump wishes the entire world a merry Christmas https://t.co/z4tUWiqwBB https://t.co/44K7QMwmKT,https://pbs.twimg.com/profile_images/727863966567903232/inm00S9s_normal.jpg,119609
343,Reporte 24 Venezuela,Trump desea feliz Navidad a los militares desplegados en el exterior... #RT https://t.co/seNZcimmp8,https://pbs.twimg.com/profile_images/512360000694788096/Xb-LId6r_normal.jpeg,88323
380,John Moffitt,Ah Vanity! Always the devil's 😈 favorite sin. https://t.co/YAE70atgfp,https://pbs.twimg.com/profile_images/936104627929567232/v9tJCwTF_normal.jpg,79099
684,Heidi N Moore,Forever mood  https://t.co/1n4hoKFa36 https://t.co/9oL0o4avet,https://pbs.twimg.com/profile_images/721839404440899584/RuFdwfys_normal.jpg,75692
697,⚜️⚜️⚜Kathleen⚜️⚜️⚜,RT @RealMAGASteve: Fun Fact: The investigators are being investigated. Muellers FBI agents that were investigating Trump-Russia are under i…,https://pbs.twimg.com/profile_images/940802104129720321/nOE1fY5s_normal.jpg,56457
824,Dukascopy Forex (DE),Trump unterzeichnet Gesetz: Freud und Leid für deutsche Unternehmen bei US-Steuerreform #stern.de - Wirtschaft  https://t.co/qfafPtbKzA,https://pbs.twimg.com/profile_images/681486467584159744/iR7aEvY1_normal.png,43620
51,BW Breaking News,Trump gibt Kindern Auskunft - https://t.co/7knGsxqhmC,https://pbs.twimg.com/profile_images/562300500805054464/8fsBJkrb_normal.png,38198
1008,In Spite of Trump,Yes. There certainly is. https://t.co/WzgLPKOZfE,https://pbs.twimg.com/profile_images/797620888245911552/dS1942ds_normal.jpg,36717
293,Resist4Humanity,RT @kylegriffin1: More than 4 in 5 Americans who enrolled in Obamacare this year are from states Trump won. https://t.co/fCFmZKzdb3,https://pbs.twimg.com/profile_images/875506376859983872/RPju5Dy7_normal.jpg,33234
923,Follow the Money,"Latest NY Times Bid To Smear President Trump Via ""Anonymous Sources"" https://t.co/BUOw5hfP5u via @yidwithlid
Unname… https://t.co/47MaV1yobr",https://pbs.twimg.com/profile_images/909878328835833856/sQ2qZO5E_normal.jpg,29619
233,Kim Campbell,"RT @SethAbramson: Remember this story when Kelly, Tillerson, McMaster, Nielsen, Miller, and other Trump aides claim executive privilege for…",https://pbs.twimg.com/profile_images/857995417035841536/OjdHBEDe_normal.jpg,23172
381,Kim Campbell,RT @ShadowingTrump: Trump's urge to purge. https://t.co/B3sIZSLJ6t,https://pbs.twimg.com/profile_images/857995417035841536/OjdHBEDe_normal.jpg,23172
935,Frank,RT @Trumptweets2020: #MerryTrumpmas to the haters &amp; losers! With my #Trumpcult comparing me to Jesus I'm renaming this joyful day after the…,https://pbs.twimg.com/profile_images/633511178220638214/FGDvu5KF_normal.jpg,19081
167,"Sd, Sdat",Raw: President Trump Attends Midnight Mass. https://t.co/kLyEtU6nIP,https://pbs.twimg.com/profile_images/750840623444353025/EdFC-vhF_normal.jpg,18932
174,MIKE J.,"RT @kf9ug: The real reason to blame for low ticket sales is we don't approve of the hate filled anti-American, anti-Trump sentiment of Holl…",https://pbs.twimg.com/profile_images/880755979343740928/Iv5Y7dF2_normal.jpg,18708
264,🇺🇸 LLew Moss 🇬🇧,"RT @AngelaLMorabito: His name is @SenatorTimScott, not ""black GOP senator."" https://t.co/UpQw5obeAm",https://pbs.twimg.com/profile_images/769601930259603456/UnCiPIDu_normal.jpg,18636
961,Info 24 US,Dems aim for 2018 midterm boost from Trump tax plan fallout. #D25 https://t.co/4ILTxVbdR3 https://t.co/rVjyjw2EbT,https://pbs.twimg.com/profile_images/549979491498356736/8F3ZoQE6_normal.jpeg,18334
203,Georgia Blue,"RT @TeaPainUSA: Obama won a Nobel Peace Prize, while Trump wins ""Lie of the Year"".   Congratulations, @realDonaldTrump!

https://t.co/1Do2U…",https://pbs.twimg.com/profile_images/1806873197/georgia-state-main_normal.jpg,17810
702,Phil,RT @politicalHEDGE: First Published on 12/22/2017║Sen. Rand Paul: Time to investigate Obama officials who might have colluded to stop Trump…,https://pbs.twimg.com/profile_images/572758390033661954/-YXUeMn__normal.png,16586
575,Phil,RT @Stella_Basham: U.S. President Donald Trump and First Lady Melania Trump arrive for church service at The Church of Bethesda-By-The sea…,https://pbs.twimg.com/profile_images/572758390033661954/-YXUeMn__normal.png,16586
1048,navy seal,8 Facts About The Trump Kids That Will Make You Nuts! https://t.co/ZWU4TZW1xg,https://pbs.twimg.com/profile_images/773021218890973184/LhWCm0CA_normal.jpg,16480
965,Muhanad Seloom,"RT @pappe54: One of the Sky News Commentators, I think it was Catherine Marciano, who also writes from the Times of Israel, explained to th…",https://pbs.twimg.com/profile_images/944527379506122752/DOd7aH_f_normal.jpg,16314
1025,Brett,RT @Thomas1774Paine: BREAKING***- PAYBACK: Nikki Haley and Trump Give United Nations a Giant Lump of Coal on Christmas Eve; USA Cuts Funds…,https://pbs.twimg.com/profile_images/879406507913117696/ioVMgB3s_normal.jpg,14221
1001,Carlos Ramos Sr.,"RT @FiveRights: #HowIStayOutOfJail
I never hung out with lowlifes. I avoided Obama's
WH
Justice Dept
State Dept
Iran/Hezbollah deal
spying…",https://pbs.twimg.com/profile_images/630113466267865088/qgROZOTW_normal.jpg,12901
318,Carlos Ramos Sr.,RT @erwindean96: @usvetram @mamoobonnie @RealCommander02 @tommyhubb @TRUMPSYOURPREZ @Mark4One @1HeroMe @MichalDouglas9 @Cindynine4 @K1Degma…,https://pbs.twimg.com/profile_images/630113466267865088/qgROZOTW_normal.jpg,12901
773,Warren Bobrow,"RT @tedlieu: .@POTUS has tweeted quite a bit about career FBI official Andrew McCabe, who could be called as a witness against Trump in an…",https://pbs.twimg.com/profile_images/711561246651318272/vSAtxcgd_normal.jpg,12670
122,Gazzetta del Sud,Guatemala sposterà ambasciata a Gerusalemme: Il Guatemala trasferirà la propria ambasciata da Tel Aviv a Gerusalemm… https://t.co/MhLUKEnrf2,https://pbs.twimg.com/profile_images/570950572/logo_ga_normal.jpg,12644
717,Dj KillHerkev/TGCI,#SupportforSupport #360WiseMedia : White House official denies Trump made disparaging remarks about Nigerians or Ha… https://t.co/ADppBDn2Bh,https://pbs.twimg.com/profile_images/378800000261966757/437c37e539b846a2bdb75c1cd66e2ea1_normal.jpeg,12582
736,(((Ad Rock MD PhD))),"RT @LOLBeReasonable: An image of blood labeled “CNN” on the sole of Donald Trump's shoe, retweeted by the President of the United States on…",https://pbs.twimg.com/profile_images/914464573121581058/4MqYXB70_normal.jpg,12302
997,Herbert,RT @fernsbags: @ALS_III @HHooversGhost @KatGonzales5 @SheriffClarke @SenTedCruz @RandPaul @GOP Trump doesn’t have to tell the truth when hi…,https://pbs.twimg.com/profile_images/455058092737048576/Pw0GdVEQ_normal.png,11820
482,LaureReminick,"RT @NathanHRubin: I was an independent. Donald Trump made me a Democrat. 

I was a voter. Donald Trump made me an activist. 

I was complac…",https://pbs.twimg.com/profile_images/937804964281192448/I4kyC05t_normal.jpg,11479
522,Artie B.,"RT @Imperator_Rex3: 9. 15/16 October : Assange gives Trump some evidence of what he has as a sign of good faith:
https://t.co/TWeFOAf3ow",https://pbs.twimg.com/profile_images/869725984391442432/keUBCSE__normal.jpg,11206
195,Artie B.,"RT @Imperator_Rex3: 10. Messages are delivered to and from the administration via Pamela Anderson, a long time Trump ally &amp; one of Assange'…",https://pbs.twimg.com/profile_images/869725984391442432/keUBCSE__normal.jpg,11206
865,DaleWillResist,"RT @MDBlanchfield: Trump administration renews mining leases near Minnesota wilderness, reversing Obama — The Washington Post https://t.co/…",https://pbs.twimg.com/profile_images/710173797186318337/wC0kMLuN_normal.jpg,10634
1028,Drea Gallagher,RT @USATrump45: RETWEET if you agree Christmas feels a little more special this year because President Trump is in office Making America Gr…,https://pbs.twimg.com/profile_images/882197587977228288/xmQm_QJL_normal.jpg,10595
843,Drea Gallagher,RT @Stella_Basham: U.S. President Donald Trump and First Lady Melania Trump arrive for church service at The Church of Bethesda-By-The sea…,https://pbs.twimg.com/profile_images/882197587977228288/xmQm_QJL_normal.jpg,10595
514,Deenie,Dems aim for 2018 midterm boost from Trump tax plan fallout - NewsTimes https://t.co/stteEh4pQ1,https://pbs.twimg.com/profile_images/944428401888190464/yYBxJMdc_normal.jpg,10482
108,Alberto Support Dems,Trump Is Privately Bragging To His Rich Friends That His Tax Cut Just Made Them A Lot Richer via @politicususa https://t.co/1nb3myQOmV,https://pbs.twimg.com/profile_images/687361843573035009/ADEiTdw5_normal.jpg,10458
285,Mike Houston,"RT @jbro_1776: Merry Christmas Trump supporters. Don't worry your present is coming.

⏰⏰⏰⏰⏰

#MerryChristmas",https://pbs.twimg.com/profile_images/838547804951838720/iYCJkIbT_normal.jpg,10404
373,Don't Go There #ScienceBased,"RT @EdKrassen: Trey Gowdy, a man who hates Hillary Clinton and Loves Donald Trump, was in charge of the Benghazi investigation.  If you wan…",https://pbs.twimg.com/profile_images/874685124935393280/QnsL-uOf_normal.jpg,10311
811,3PP Movies,RT @Shareblue: #SeasonOfGiving: Trump just gave a bigger Christmas gift to Putin than corporate America — while no one was watching https:/…,https://pbs.twimg.com/profile_images/455956077847126016/504egmjP_normal.png,10003
731,Victoria Sprus4Trump,Trump Slammed For 'Blood-Stained' CNN Tweet. Poor little loser @CNN  https://t.co/shyR7AApmW,https://pbs.twimg.com/profile_images/2657961774/9be008abb22ddad5b0f06724452b3b6d_normal.png,9441
344,༄Tiαηzhihuã༆,"It is polite and caring to send Christmas gifts without sin, asking Syria and the terrorist groups to keep the peac… https://t.co/OSlZ2ls6oQ",https://pbs.twimg.com/profile_images/845356773867343873/nS0mHcfq_normal.jpg,9415
322,🌹🕔 Guillo-Time 🍕,"RT @MrJames_Casey: @disco_socialist Upper middle class liberals aren't interested in confronting the fact that it was their friends, famili…",https://pbs.twimg.com/profile_images/879835392974958592/CYVyI-Lc_normal.jpg,9042
